countyid,emp
17001,3463
17003,316
17005,854
17007,942
17009,130
17011,637
17013,70
17015,644
17017,459
17019,7662
17021,829
17023,266
17025,284
17027,715
17029,1503
17031,554916
17033,406
17035,191
17037,1894
17039,520
17041,422
17043,135206
17045,219
17047,194
17049,9056
17051,341
17053,584
17055,542
17057,314
17059,156
17061,268
17063,1334
17065,144
17067,365
17069,139
17071,132
17073,1163
17075,767
17077,1183
17079,471
17081,1175
17083,848
17085,637
17087,68
17089,23552
17091,5164
17093,1632
17095,2881
17097,85640
17099,2563
17101,241
17103,560
17105,940
17107,1072
17109,453
17111,8105
17113,7899
17115,6254
17117,1221
17119,7305
17121,646
17123,191
17125,424
17127,686
17129,173
17131,200
17133,700
17135,419
17137,2096
17139,241
17141,1510
17143,24595
17145,121
17147,396
17149,329
17151,33
17153,137
17155,128
17157,794
17159,229
17161,12022
17163,9235
17165,410
17167,11241
17169,78
17171,119
17173,468
17175,138
17177,1149
17179,4496
17181,127
17183,1801
17185,125
17187,1154
17189,446
17191,208
17193,363
17195,1338
17197,30159
17199,951
17201,8688
17203,1404
18001,520
18003,17620
18005,10141
18007,341
18009,141
18011,3027
18013,239
18015,264
18017,753
18019,6008
18021,225
18023,448
18025,144
18027,630
18029,2132
18031,702
18033,1087
18035,4068
18037,2734
18039,8588
18041,344
18043,1139
18045,124
18047,244
18049,277
18051,969
18053,6382
18055,241
18057,25835
18059,3078
18061,1809
18063,5401
18065,961
18067,983
18069,1426
18071,908
18073,1175
18075,268
18077,919
18079,216
18081,3982
18083,804
18085,5951
18087,935
18089,14158
18091,2656
18093,609
18095,5308
18097,89904
18099,1048
18101,533
18103,251
18105,4344
18107,967
18109,536
18111,327
18113,489
18115,639
18117,496
18119,172
18121,107
18123,168
18125,166
18127,5568
18129,696
18131,199
18133,1824
18135,295
18137,2632
18139,226
18141,26516
18143,165
18145,1619
18147,732
18149,114
18151,1590
18153,215
18155,898
18157,3585
18159,181
18161,22
18163,13550
18165,96
18167,3175
18169,1451
18171,114
18173,751
18175,199
18177,2118
18179,1857
18181,306
18183,704
19001,178
19003,91
19005,444
19007,232
19009,122
19011,321
19013,7016
19015,727
19017,1844
19019,658
19021,804
19023,208
19025,407
19027,1776
19029,298
19031,593
19033,1906
19035,289
19037,358
19039,380
19041,511
19043,547
19045,1882
19047,337
19049,3362
19051,106
19053,788
19055,469
19057,886
19059,600
19061,9189
19063,178
19065,1692
19067,252
19069,524
19071,127
19073,554
19075,300
19077,224
19079,1028
19081,375
19083,1079
19085,634
19087,615
19089,175
19091,370
19093,329
19095,382
19097,347
19099,507
19101,2247
19103,5990
19105,710
19107,257
19109,590
19111,519
19113,20971
19115,255
19117,114
19119,962
19121,226
19123,881
19125,1625
19127,720
19129,182
19131,278
19133,352
19135,190
19137,289
19139,2681
19141,500
19143,192
19145,449
19147,471
19149,1235
19151,319
19153,59431
19155,3822
19157,2688
19159,108
19161,217
19163,8932
19165,637
19167,2407
19169,3239
19171,965
19173,79
19175,335
19177,64
19179,520
19181,1598
19183,1183
19185,106
19187,2051
19189,653
19191,2633
19193,5879
19195,512
19197,411
20001,235
20003,69
20005,1213
20007,132
20009,590
20011,399
20013,732
20015,695
20017,45
20019,2
20021,268
20023,107
20025,25
20027,287
20029,310
20031,200
20033,37
20035,882
20037,1228
20039,136
20041,691
20043,142
20045,6947
20047,117
20049,8
20051,637
20053,287
20055,891
20057,1450
20059,1286
20061,963
20063,86
20065,55
20067,258
20069,267
20071,40
20073,62
20075,101
20077,91
20079,896
20081,129
20083,29
20085,927
20087,106
20089,71
20091,57487
20093,38
20095,161
20097,220
20099,360
20101,63
20103,2195
20105,100
20107,106
20109,105
20111,530
20113,1415
20115,684
20117,392
20119,110
20121,539
20123,279
20125,768
20127,29
20129,115
20131,454
20133,275
20135,126
20137,154
20139,70
20141,126
20143,67
20145,174
20147,192
20149,1190
20151,331
20153,137
20155,2046
20157,123
20159,534
20161,2151
20163,270
20165,200
20167,242
20169,2729
20171,148
20173,26531
20175,267
20177,8703
20179,138
20181,281
20183,130
20185,66
20187,113
20189,136
20191,361
20193,393
20195,71
20197,45
20199,96
20201,185
20203,85
20205,184
20207,56
20209,7732
21001,1106
21003,201
21005,83
21007,132
21009,762
21011,36
21013,266
21015,14456
21017,260
21019,1649
21021,1640
21023,62
21025,171
21027,194
21029,1900
21031,28
21033,181
21035,871
21037,2994
21039,9
21041,277
21043,711
21045,231
21047,1944
21049,1535
21051,33
21053,84
21055,23
21057,47
21059,3365
21061,30
21063,0
21065,59
21067,20495
21069,68
21071,679
21073,1843
21075,128
21077,16
21079,97
21081,142
21083,1058
21085,431
21087,33
21089,378
21091,66
21093,2733
21095,121
21097,166
21099,116
21101,879
21103,200
21105,242
21107,660
21109,7
21111,55707
21113,3128
21115,232
21117,8790
21119,237
21121,2456
21123,48
21125,5027
21127,94
21129,148
21131,164
21133,279
21135,2
21137,100
21139,234
21141,249
21143,69
21145,4572
21147,31
21149,96
21151,1827
21153,63
21155,126
21157,558
21159,121
21161,605
21163,164
21165,9
21167,215
21169,33
21171,231
21173,347
21175,101
21177,374
21179,489
21181,24
21183,1390
21185,844
21187,152
21189,9
21191,144
21193,714
21195,1081
21197,70
21199,1402
21201,7
21203,720
21205,240
21207,726
21209,1724
21211,1642
21213,336
21215,42
21217,1074
21219,66
21221,211
21223,32
21225,265
21227,4594
21229,320
21231,194
21233,87
21235,2487
21237,78
21239,718
22001,999
22003,461
22005,3302
22007,117
22009,1675
22011,267
22013,143
22015,4918
22017,10291
22019,8151
22021,146
22023,330
22025,140
22027,124
22029,328
22031,297
22033,27389
22035,447
22037,144
22039,557
22041,185
22043,551
22045,1816
22047,856
22049,59
22051,28697
22053,403
22055,13518
22057,5597
22059,547
22061,1217
22063,915
22065,450
22067,280
22069,996
22071,35663
22073,3902
22075,1971
22077,299
22079,2572
22081,60
22083,771
22085,376
22087,428
22089,4371
22091,60
22093,1661
22095,1979
22097,1581
22099,1312
22101,2887
22103,7620
22105,2103
22107,103
22109,5284
22111,35
22113,884
22115,717
22117,1588
22119,553
22121,1422
22123,118
22125,70
22127,589
23001,5341
23003,1045
23005,31235
23007,1220
23009,2971
23011,6231
23013,1487
23015,982
23017,1259
23019,6254
23021,193
23023,880
23025,949
23027,1774
23029,608
23031,5884
24001,1918
24003,54790
24005,48587
24009,1707
24011,809
24013,5381
24015,2217
24017,2966
24019,502
24021,15667
24023,1254
24025,8845
24027,59054
24029,1745
24031,108859
24033,43644
24035,1041
24037,6100
24039,201
24041,1665
24043,8810
24045,2729
24047,1579
24510,84987
25001,9568
25003,9641
25005,25366
25007,606
25009,39319
25011,2267
25013,25786
25015,13055
25017,304204
25019,355
25021,69902
25023,18131
25025,193894
25027,47155
26001,30
26003,52
26005,4186
26007,979
26009,181
26011,507
26013,42
26015,324
26017,3151
26019,142
26021,8296
26023,635
26025,8491
26027,405
26029,437
26031,266
26033,1516
26035,469
26037,793
26039,116
26041,907
26043,820
26045,4628
26047,1498
26049,10373
26051,102
26053,595
26055,3651
26057,1180
26059,1052
26061,720
26063,707
26065,17886
26067,466
26069,700
26071,224
26073,4289
26075,6036
26077,11757
26079,370
26081,51839
26083,44
26085,86
26087,612
26089,476
26091,2998
26093,3544
26095,50
26097,134
26099,25303
26101,1073
26103,1077
26105,350
26107,502
26109,186
26111,6412
26113,217
26115,3118
26117,441
26119,158
26121,2849
26123,1364
26125,156421
26127,617
26129,320
26131,13
26133,231
26135,174
26137,347
26139,10158
26141,38
26143,108
26145,7783
26147,2671
26149,965
26151,514
26153,43
26155,917
26157,552
26159,2490
26161,23734
