countyid,emp
48113,337528
48115,182
48117,565
48119,20
48121,28915
48123,408
48125,5
48127,332
48129,19
48131,115
48133,1160
48135,3773
48137,2
48139,2877
48141,23171
48143,550
48145,159
48147,303
48149,570
48151,34
48153,139
48155,7
48157,18501
48159,198
48161,237
48163,1427
48165,439
48167,9770
48169,286
48171,679
48173,52
48175,31
48177,230
48179,467
48181,2808
48183,5796
48185,324
48187,3141
48189,1275
48191,315
48193,113
48195,182
48197,41
48199,527
48201,374927
48203,1709
48205,89
48207,161
48209,4061
48211,398
48213,886
48215,12839
48217,307
48219,351
48221,802
48223,1069
48225,284
48227,434
48229,130
48231,1698
48233,289
48235,44
48237,227
48239,644
48241,319
48243,59
48245,8145
48247,63
48249,736
48251,2617
48253,131
48255,806
48257,1103
48259,1344
48261,7
48265,1958
48267,43
48271,82
48273,577
48275,71
48277,642
48279,338
48281,130
48283,236
48285,362
48287,235
48289,214
48291,1557
48293,145
48295,67
48297,378
48299,274
48301,3
48303,9264
48305,40
48307,174
48309,18994
48311,43
48313,81
48315,125
48317,91
48319,69
48321,525
48323,1224
48325,405
48327,25
48329,7645
48331,180
48333,41
48335,26
48337,249
48339,22075
48341,456
48343,112
48345,34
48347,865
48349,991
48351,126
48353,302
48355,11003
48357,336
48359,4
48361,1327
48363,200
48365,350
48367,1555
48369,251
48371,413
48373,531
48375,6439
48377,74
48379,50
48381,1764
48383,133
48385,85
48387,86
48389,222
48391,75
48393,21
48395,577
48397,1798
48399,119
48401,928
48403,45
48405,24
48407,70
48409,764
48411,112
48413,13
48415,816
48417,53
48419,448
48421,51
48423,9180
48425,213
48427,444
48429,206
48431,24
48433,1
48435,114
48437,89
48439,113618
48441,7733
48443,3
48445,485
48447,8
48449,543
48451,2251
48453,142979
48455,97
48457,78
48459,442
48461,22
48463,754
48465,992
48467,434
48469,2206
48471,898
48473,530
48475,172
48477,927
48479,5170
48481,952
48483,126
48485,2832
48487,160
48489,447
48491,26580
48493,251
48495,192
48497,939
48499,967
48501,91
48503,329
48505,72
48507,57
49001,97
49003,529
49005,3581
49007,193
49009,16
49011,10496
49013,180
49015,199
49017,57
49019,403
49021,888
49023,63
49025,695
49027,97
49029,77
49031,4
49033,54
49035,129597
49037,92
49039,648
49041,107
49043,8923
49045,651
49047,388
49049,59911
49051,450
49053,4066
49055,9
49057,6580
50001,4802
50003,1911
50005,839
50007,16125
50009,21
50011,1041
50013,110
50015,669
50017,597
50019,554
50021,3013
50023,5677
50025,3269
50027,2693
51001,638
51003,6260
51005,105
51007,75
51009,715
51011,96
51013,61245
51015,900
51017,380
51019,903
51021,319
51023,649
51025,409
51027,347
51029,82
51031,1116
51033,445
51035,176
51036,107
51037,85
51041,12978
51043,287
51045,36
51047,1090
51049,68
51051,33
51053,147
51057,255
51059,228962
51061,1609
51063,122
51065,211
51067,2090
51069,1663
51071,104
51073,473
51075,8592
51077,32
51079,304
51081,68
51083,603
51085,9029
51087,31419
51089,822
51091,57
51093,656
51095,4877
51097,62
51099,1910
51101,111
51103,491
51105,112
51107,40057
51109,327
51111,75
51113,98
51115,94
51117,941
51119,313
51121,3009
51125,224
51127,158
51131,290
51133,181
51135,156
51137,487
51139,498
51141,90
51143,499
51145,283
51147,947
51149,4378
51153,12087
51155,313
51157,233
51159,170
51161,3190
51163,558
51165,2314
51167,594
51169,185
51171,763
51173,226
51175,259
51177,3435
51179,4576
51181,38
51183,94
51185,854
51187,783
51191,2074
51193,181
51195,364
51197,379
51199,2387
51510,24331
51515,90
51520,1467
51530,326
51540,5711
51550,11984
51570,179
51580,64
51590,1306
51595,89
51600,7411
51610,2225
51620,95
51630,2309
51640,111
51650,6738
51660,2935
51670,493
51678,1406
51680,16863
51683,1259
51685,340
51690,618
51700,8746
51710,17005
51720,299
51730,510
51735,43
51740,2884
51750,128
51760,20779
51770,11110
51775,1734
51790,1436
51800,1212
51810,19540
51820,610
51830,438
51840,3742
53001,536
53003,250
53005,10308
53007,4090
53009,1507
53011,19170
53013,135
53015,2063
53017,813
53019,18
53021,2251
53023,98
53025,2562
53027,823
53029,907
53031,657
53033,344091
53035,5701
53037,1719
53039,279
53041,1006
53043,218
53045,1399
53047,973
53049,288
53051,55
53053,31730
53055,626
53057,3661
53059,32
53061,22637
53063,24969
53065,541
53067,10927
53069,21
53071,3828
53073,8996
53075,1057
53077,7658
54001,908
54003,1258
54005,113
54007,184
54009,714
54011,3233
54013,57
54015,16
54017,846
54019,497
54021,38
54023,53
54025,1594
54027,127
54029,1571
54031,90
54033,2222
54035,407
54037,4364
54039,9331
54041,494
54043,40
54045,351
54047,79
54049,1477
54051,506
54053,180
54055,772
54057,441
54059,380
54061,3762
54063,29
54065,123
54067,169
54069,4196
54071,96
54073,26
54075,269
54077,216
54079,1172
54081,2295
54083,889
54085,61
54087,69
54089,44
54091,103
54093,326
54095,46
54097,640
54099,363
54101,62
54103,270
54105,10
54107,2603
54109,155
55001,73
55003,795
55005,807
55007,237
55009,17770
55011,179
55013,138
55015,1018
55017,1786
55019,732
55021,1609
55023,408
55025,54670
55027,1594
55029,842
55031,1236
55033,1004
55035,5679
55037,11
55039,5461
55041,276
55043,1946
55045,3057
55047,424
55049,3759
55051,95
55053,421
55055,3113
55057,261
55059,7865
55061,169
55063,8040
55065,397
55067,426
55069,509
55071,1945
55073,4773
55075,555
55077,237
55078,568
55079,89731
55081,957
55083,195
55085,953
55087,14972
55089,5292
55091,388
55093,379
55095,927
55097,3094
55099,138
55101,6483
55103,212
55105,8869
55107,135
55109,2365
55111,3791
55113,732
55115,1317
55117,6285
55119,401
55121,409
55123,1021
55125,1037
55127,3354
55129,301
55131,4892
55133,41833
55135,787
55137,418
55139,12405
55141,3395
56001,532
56003,122
56005,1837
56007,191
56009,307
56011,133
56013,1105
56015,314
56017,73
56019,187
56021,3302
56023,120
56025,2399
56027,17
56029,642
56031,107
56033,654
56035,111
56037,836
56039,3597
56041,455
56043,165
56045,64
